entry_time,exit_time,direction,entry,exit,reason,pnl_usd,capital,risk_mult
2015-11-06 17:15:00,2015-11-06 18:15:00,Long,1088.13,1087.33,Horizon,-72.64222477064733,9927.357775229353,1.4655483545509094
2015-11-06 22:15:00,2015-11-06 23:15:00,Short,1088.97,1088.62,Horizon,81.42940781333562,10008.787183042688,1.5
2015-11-09 17:15:00,2015-11-09 18:15:00,Short,1090.81,1090.05,Horizon,83.40217150147336,10092.189354544162,1.2026223636844326
2015-11-27 15:15:00,2015-11-27 16:15:00,Short,1057.33,1055.28,Horizon,108.67806172316216,10200.867416267323,1.5
2015-12-01 10:00:00,2015-12-01 11:00:00,Long,1070.17,1071.36,Horizon,110.37967757822268,10311.247093845546,1.5
2015-12-01 14:15:00,2015-12-01 15:00:00,Long,1066.86,1069.2406199934505,Final TP,175.37052882493722,10486.617622670483,1.5
2015-12-03 03:00:00,2015-12-03 03:15:00,Long,1048.65,1047.5133065599234,Stop Loss,-157.29926434005725,10329.318358330425,1.5
2015-12-04 17:00:00,2015-12-04 18:00:00,Short,1087.13,1084.54,Horizon,117.43680710155179,10446.755165431978,1.5
2015-12-04 23:30:00,2015-12-07 01:30:00,Short,1086.79,1082.8728397736013,Final TP,203.5997916460968,10650.354957078074,1.5
2015-12-07 23:45:00,2015-12-08 01:00:00,Long,1070.76,1069.611438756769,Stop Loss,-159.75532435617114,10490.599632721904,1.5
2015-12-21 18:30:00,2015-12-21 19:15:00,Short,1079.04,1080.5130844877876,Stop Loss,-147.66879871126184,10342.930834010642,1.4076297245265048
2016-01-04 17:15:00,2016-01-04 17:45:00,Long,1079.26,1077.4331434249748,Stop Loss,-155.1439625101596,10187.786871500482,1.5
2016-01-14 23:15:00,2016-01-15 01:45:00,Long,1077.18,1076.84,Horizon,41.55364045670983,10229.340511957193,1.5
2016-01-15 15:45:00,2016-01-15 16:45:00,Long,1093.75,1093.25,Horizon,58.81166458438986,10288.152176541582,1.5
2016-02-03 21:15:00,2016-02-03 22:15:00,Long,1138.16,1140.6796892016366,Final TP,163.39283712540725,10451.54501366699,1.5
2016-02-05 22:30:00,2016-02-05 22:45:00,Short,1172.83,1174.3821249503087,Stop Loss,-156.77317520500483,10294.771838461986,1.5
2016-02-08 17:00:00,2016-02-08 17:15:00,Short,1197.48,1193.2631145796872,Final TP,196.3430288046877,10491.114867266673,1.5
2016-02-08 18:00:00,2016-02-08 19:00:00,Short,1197.11,1192.33,Horizon,212.2693455812416,10703.384212847915,1.5
